Level,Seviye
Yes,Evet
No,Hayır
TimesUp,Zaman Doldu!
red,kırmızı
blue,mavi
green,yeşil
orange,turuncu
black,siyah
thisIs,Bu 
not,değildir 
a,bir 
ambulance,ambulans
shoe,ayakkabı
fish,balık
toothbrush,diş fırçası
apple,elma
mouse,fare
elephant,fil
cup,fincan
camera,fotoğraf makinesi
brush,fırça
guitar,gitar
eyeglass,gözlük
giftBox,hediye paketi
watch,saat
necktie,kravat
joystick,kumanda
scissors,makas
bus,otobüs
palette,palet
gramophone,pikap
radio,radyo
tshirt,tişört
comb,tarak
chicken,tavuk
telephone,telefon
ball,top
bag,çanta
sock,çorap
hat,şapka
umbrella,şemsiye
