ChooseWindow,Yükleniyor...
DecryptionProgress,Şifre Kırma İlerlemesi
AccessGranted,Giriş Başarılı
AccessDenied,Giriş Engellendi
DecrytionOfLevel,Şifreleme Seviyesi
Successful,Başarıyla Kırıldı
Failed,Kırılamadı
AnswerTheQuestion,Soruyu Cevapla
Q1,Öğenin ilk harfi nedir?
Q2,Öğenin son harfi nedir?
Q3,Öğenin ikinci harfi nedir?
Q4,Hangi harf öğenin adında var?
apple,elma
eggplant,patlıcan
bag,çanta
banana,muz
baseballbat,beyzbolsopası
bed,yatak
blender,blender
brownbear,kahverengiayı
calendar,takvim
carrot,havuç
chair,sandalye
cherry,kiraz
clock,saat
comb,tarak
cucumber,salatalık
desklamp,masalambası
dog,köpek
earring,küpe
fork,çatal
garlic,sarımsak
glass,bardak
glasses,gözlük
grater,rende
guitar,gitar
hairdryer,saçkurutmamakinesi
hamburger,hamburger
hammer,çekiç
hat,şapka
knife,bıçak
lemon,limon
lipstick,ruj
liquidsoap,sıvısabun
mixer,karıştırıcı
mobilephone,ceptelefonu
monitor,monitör
necklace,kolye
onion,soğan
orange,portakal
oven,fırın
pan,tava
pear,armut
pepper,biber
pizza,pizza
plate,tabak
potatoes,patates
saltcellar,tuzluk
shampoo,şampuan
spoon,kaşık
telephone,telefon
toiletpaper,tuvaletkağıdı
tomatoes,domates
toothbrush,dişfırçası
wallet,cüzdan
watch,saat
apron,önlük
avocado,avokado
axe,balta
bag,çanta
bowtie,papyon
broccoli,brokoli
cake,pasta
camel,deve
camera,kamera
choppingboard,doğramatahtası
coffeemachine,kahvemakinesi
corn,mısır
courgette,kabak
cushion,minder
dress,elbise
fan,vantilatör
fireplace,şömine
fox,tilk
glasses,gözlük
grape,üzüm
hippopotamus,suaygırı
iron,ütü
kettle,çaydanlık
kiwi,kivi
leopard,leopar
lettuce,marul
lion,aslan
meter,metre
mirror,ayna
mushroom,mantar
pancake,krep
peeler,soyacak
perfume,parfüm
pillow,yastık
pineapple,ananas
pomegranate,nar
pot,tencere
printer,yazıcı
pumpkin,balkabağı
rabbit,tavşan
saw,testere
scales,terazi
scissors,makas
skateboard,kaykay
sofa,kanepe
spaghetti,spagetti
stamp,pul
strawberry,çilek
suit,takımelbise
teddybear,oyuncakayı
tie,kravat
tiger,kaplan
toaster,tostmakinesi
toiletbrush,tuvaletfırçası
toothpaste,dişmacunu
umbrella,şemsiye
wallet,cüzdan
wardrobe,gardırop
washingmachine,çamaşırmakinesi
watermelon,karpuz
wolf,kurt
armchair,koltuk
artichoke,enginar
asparagus,kuşkonmaz
beaver,kunduz
bunk,ranz
cabbage,lahana
carpet,halı
cauliflower,karnabahar
chevalglass,tuvaletaynası
coathanger,elbiseaskısı
damson,mürdümeriği
deer,geyik
doughroller,merdane
drill,matkap
elephant,fil
fingernailpolish,oje
giraffe,zürafa
grater,rende
gull,martı
hippopotamus,suaygırı
juiceextractor,meşrubatsıkacağı
kakipersimmon,Trabzonhurması
ladle,kevgir
lampshade,abajur
makeupkit,makyajseti
mango,mango
mascara,maskara
moose,kanadageyiği
nightstand,komodin
ovenmitts,fırıneldiveni
owl,baykuş
parsley,maydanoz
pea,bezelye
penguin,penguen
pliers,kerpeten
polarbear,kutupayısı
raccoon,rakun
radish,turp
raspberry,ahududu
redbeet,pancar
refrigerator,buzdolabı
rhino,gergedan
salad,yeşilsalata
sealion,denizaslanı
seal,fok
slipper,terlik
squirrel,sincap
starfish,denizyıldızı
stool,tabure
sunbed,şezlong
wokpan,woktava
wrench,anahtar
zebra,zebra
